0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.23663106734779027+0.8203671186242967*I	0.15427354162864182+0.5364049125846378*I	0.05205251746385755+0.1902267574506121*I
-0.058059230856754906-0.8527145526969108*I	-0.03754069205860741-0.5572522272098034*I	-0.011934295731991874-0.1922238514284321*I
0.6724703599979512+0.5259404529579631*I	0.4394646352171625+0.3433498826194017*I	0.1570755270040108+0.12288113353005975*I
-0.1936418521359164+0.831479138584003*I	-0.12697359342584644+0.5434722688217685*I	-0.04224269556915248+0.19386512273432427*I
-0.07239938712212705+0.8502708597092915*I	-0.047562825470260965+0.556021417236836*I	-0.016659028458948746+0.19972131759550968*I
0.8483741144999609+0.1030376849839304*I	0.5541909432320885+0.0677146016827796*I	0.19300074766459052+0.024316558597512642*I
-0.832326995241999-0.19137613982622997*I	-0.5442186236532309-0.12483681993676453*I	-0.19148903615982055-0.04730655311758223*I
0.24533175182163092-0.8184661996450322*I	0.15999707048715384-0.5350636747189285*I	0.0556020238382739-0.18745387153381238*I
0.1740515258048691-0.8357214147954135*I	0.11414269168664415-0.5460528422547931*I	0.04385401533484858-0.19616164899512686*I
-0.8458315611105831+0.11599006901641133*I	-0.5529817402262132+0.0758311039117772*I	-0.19864592871970288+0.02382924844096875*I
0.5696557573820047-0.6360473725537755*I	0.3724157830515538-0.41519785521889346*I	0.13166921570134618-0.15193231264860568*I
0.7709747294218848-0.3662022843559304*I	0.5039605990300207-0.2393924637607902*I	0.1812709505223918-0.08958273241060961*I
-0.4972493707145191-0.694580724360287*I	-0.32441050539007865-0.453894016927932*I	-0.11393502948950121-0.16381649380737587*I
0.8501884779533359+0.0823849699374265*I	0.5556271041220316+0.05394161156658339*I	0.19803494965991622+0.02048044271529567*I
0.8529741693910274+0.029612191552320227*I	0.5566951126713552+0.019619177988306147*I	0.20531460532861898+0.008890849558050484*I
-0.6732136964897149-0.5255756934810237*I	-0.43921226786542383-0.3434040031478069*I	-0.157238184656637-0.1267025446818999*I
0.2608781630569987-0.8124850971495988*I	0.1700777197730577-0.5308184840737123*I	0.06558736660338342-0.1948202178045084*I
-0.7691041896666079-0.3707807198815455*I	-0.5024869254932816-0.24226497525564136*I	-0.18362760629065789-0.08552324501513436*I
0.7082587859811736-0.4760987769081849*I	0.4623104314539661-0.311231915905656*I	0.16901794536585651-0.11763749940537632*I
0.19570155889714722-0.8313864056888364*I	0.1280613678100923-0.5424097475008193*I	0.04450061520479252-0.19835428935648852*I
0.26769809305967784+0.8103230442669156*I	0.17464222181790998+0.5284865302383331*I	0.06294377629244297+0.19880416773144904*I
0.5925915905585674+0.6151402892359407*I	0.3863545392802708+0.4012871407742108*I	0.1403783095123485+0.14871917631119771*I
-0.797976733727088-0.3036141582068437*I	-0.5209577715454686-0.19849977709402272*I	-0.19096905596064473-0.07475636677408624*I
-0.841999080850675+0.138979433678865*I	-0.5490105949068428+0.09071321715724931*I	-0.20742825331497253+0.031094901114012707*I
0.5510056086113571-0.6515730514582918*I	0.35920459050331827-0.42543584986919136*I	0.1325589761115678-0.16206873685926584*I
-0.23368836072921179-0.8203098638987537*I	-0.15287945393614075-0.5351947160399962*I	-0.05530866657736471-0.20428308279068783*I
0.852823833100672-0.04064325269665742*I	0.5561037539110613-0.02686190566814306*I	0.20787348574055614-0.0077863957310216544*I
-0.22840647428385424-0.8227915120399786*I	-0.1486353558673912-0.5364545472871817*I	-0.05530979797845251-0.20051130598327435*I
0.4348014109967246-0.7344239907186505*I	0.2837813927807379-0.4793881338981328*I	0.1070411398934897-0.17928009894618088*I
-0.555384998367138+0.6481609175768448*I	-0.36196284643033205+0.4223624969098978*I	-0.1393618874840953+0.15831091751848173*I
-0.13953796611360475+0.84097256481759*I	-0.09082180830026251+0.548799569337115*I	-0.03794238600961046+0.21201986484113972*I
-0.7896352051741138-0.321098850015444*I	-0.5147142694588247-0.20975579505468356*I	-0.20163314275454264-0.07992043886187018*I
0.23875419582277518+0.8193244215633273*I	0.15574583017406296+0.5337678044738666*I	0.06172870261096293+0.2034875321797501*I
0.3008217145195389+0.798049432763697*I	0.1964986002763276+0.5204313803239476*I	0.07279550357237016+0.20165309439967075*I
-0.8496875140575595-0.06265495789268573*I	-0.5540860357547572-0.04122366719137012*I	-0.219149340562826-0.016912192728847166*I
0.5064123922448137+0.686044327415761*I	0.32979350446907935+0.446859059296001*I	0.1320921756158615+0.17327909795344404*I
0.7191191148915348+0.4587197809165092*I	0.4690478616176216+0.2987599089988595*I	0.1820723681057028+0.11475376521910566*I
-0.37981952638207106+0.7636611873754535*I	-0.24790576270480064+0.49747186160657164*I	-0.0981762282140807+0.19292834512470675*I
0.43621855282627353-0.7326244915762566*I	0.2838680547927626-0.4775635926517817*I	0.1141155310302931-0.18610162181431325*I
-0.6455536753265311-0.557175054936497*I	-0.4202033225030833-0.3631825531985385*I	-0.16386638472096665-0.14460678926944745*I
-0.5241433420283708-0.6723562638911204*I	-0.3416540404316093-0.4383955657057626*I	-0.1350981913445175-0.17189377283715734*I
0.7372023940776888-0.42621958396946263*I	0.4803243171439325-0.27806548260066555*I	0.1929763183441454-0.11483191937337071*I
-0.7374321755341737+0.42677494719317144*I	-0.4804102088215958+0.2783820920216818*I	-0.19395404818297166+0.10868321347162646*I
0.5720571801091489+0.6300641179620171*I	0.3727880401175305+0.41071655455957967*I	0.15363788895646976+0.168050617867924*I
0.8055760374490608+0.2761844013670207*I	0.5242045812439554+0.1799944319022847*I	0.21543048958162742+0.07053037259173264*I
0.43743037196146134+0.7299000519211383*I	0.28514541611806604+0.47555612138975334*I	0.11969776671387794+0.19489090945013007*I
-0.8174812779686303+0.23689951225810274*I	-0.5321170052263685+0.1546358820405666*I	-0.22081775670581033+0.06096008425279447*I
0.7310471524923868-0.4363584560815606*I	0.4757644649748485-0.2844755328583824*I	0.1938713537964733-0.11966469287859297*I
-0.8371690042117695-0.15612110705359805*I	-0.545248859557482-0.10189038462200775*I	-0.22264711342598-0.04075270319670682*I
-0.20680986889053388+0.8260349842591491*I	-0.13419280835846004+0.5374814315103461*I	-0.052866021562544135+0.22236239342470282*I
0.3552986535565878+0.7727436244960516*I	0.23112036050113918+0.5024814698217799*I	0.09697124332409277+0.213691812465788*I
0.2849925058233179+0.8014875240345628*I	0.18581590128722697+0.5213066065165284*I	0.0813964037022332+0.21889776893857146*I
-0.36086514347760107+0.7697984669909076*I	-0.23518681950110704+0.5007254457051928*I	-0.09786240908628131+0.21470345240168787*I
-0.8198933138426585-0.22602332601865777*I	-0.5336533335984533-0.14737239759151588*I	-0.224758587478291-0.06539432476194487*I
0.5165300904149285-0.6748862414590812*I	0.33619174602917024-0.4386228768085656*I	0.14669072539694347-0.18837644086901972*I
0.0427852298069322+0.849041485236566*I	0.02802292645574722+0.552586859036986*I	0.00861879588668208+0.23633596020665998*I
-0.28169933358525484-0.8012228860912697*I	-0.1835025486374247-0.5213606721772637*I	-0.08202469746032663-0.2265244115673964*I
0.23520928980304417+0.8161326881372355*I	0.15254742624993284+0.5305643095266067*I	0.06887504182311287+0.23238791549709983*I
0.04744107094232119-0.8486300496465274*I	0.03125076662006548-0.5518874148123747*I	0.015904233988606915-0.23821722409304416*I
-0.4841631555567208+0.6982844428267744*I	-0.3145770342004268+0.45355474663104745*I	-0.14039908473623036+0.19658708716042927*I
0.819644673026165-0.2232249255407289*I	0.5329585883109875-0.14472577543175097*I	0.23252843707566795-0.06631087813070266*I
-0.7405276623333358-0.4168954046832466*I	-0.48086124589120355-0.27088994141841255*I	-0.21087144789356552-0.11791617137560198*I
0.21973911655205325+0.8191504241846524*I	0.14253629963328776+0.5326563667128534*I	0.0662747355139422+0.23977740117938032*I
0.3967992481923162-0.7500246991201953*I	0.2579628182239953-0.48694651149381885*I	0.11324186224669554-0.22102140566244077*I
-0.7642166247276295+0.36764238679358124*I	-0.496916835277273+0.23875315956782028*I	-0.2263754491352466+0.1051665846278499*I
0.8478972272978237+0.012532709885015411*I	0.5504846503010459+0.008439209897382574*I	0.2515498796916964+0.006869411931133884*I
-0.8231461618575853-0.2037988499412279*I	-0.5346687962828884-0.13278302380159085*I	-0.24440330516178937-0.05713329818712949*I
0.8351852133651728+0.14411396957945122*I	0.5420834203476544+0.0932980802146709*I	0.25141436642725046+0.040202961499073805*I
-0.8193323993418609+0.21965691226158202*I	-0.5315943076126611+0.1426762347261042*I	-0.2428283317403757+0.06558477042368135*I
0.37300649579133016-0.7600875259678948*I	0.24256757794155775-0.4936438077377424*I	0.11088135725146234-0.23273386052113254*I
0.6516478833757713+0.5409095810529101*I	0.42268779867413614+0.3513772129284978*I	0.200657535588688+0.16217171492557744*I
-0.31946773940461465+0.7841480795346519*I	-0.20770336984060506+0.5092213219570345*I	-0.10024533237145125+0.2377955800688341*I
-0.7365171691295044+0.4186258797684614*I	-0.47759540027093966+0.27150505262068864*I	-0.22386988043672082+0.1281520216671987*I
-0.7388221860626049+0.4137088517012111*I	-0.478992778991543+0.2684809371490768*I	-0.22767105986663488+0.1255424181561564*I
-0.2898447267599971+0.7938201651170369*I	-0.18831722909059018+0.5147126840167544*I	-0.09130869587190707+0.2515878402313718*I
0.7666311232674435+0.3559244879637458*I	0.4975242068083127+0.23053054342955792*I	0.24053816769521155+0.11534579523453897*I
-0.2598185925505233-0.8036176653021156*I	-0.1688971307222772-0.5214383618242586*I	-0.07994366488187568-0.2572464046944582*I
0.3108751075410225+0.7849662819346978*I	0.20192909420812136+0.508785848202694*I	0.10265328008515225+0.2517150701879454*I
-0.830679781925842-0.15132249100340386*I	-0.5386291062484079-0.09855587877390677*I	-0.2663329026528146-0.05205452380613948*I
-0.21835760252159175-0.8160722868984773*I	-0.14143166644692232-0.528682754017566*I	-0.06846545213619976-0.2619605740726305*I
-0.1596692229694917-0.8289205584612007*I	-0.10341979325819953-0.5369228356690494*I	-0.048964895724910515-0.26940462977900104*I
-0.7941578314040809-0.28117546480679456*I	-0.514552388112348-0.18262828035122325*I	-0.26433141028907203-0.09443376404038921*I
0.24548729714929154+0.8069355380866761*I	0.15950892367940273+0.5229495552459992*I	0.08078980092377112+0.26434776103090035*I
-0.46224502437228043-0.7037843921147104*I	-0.29943438092771363-0.45643019329699736*I	-0.15786188470802953-0.23435714204594424*I
0.7077060913048289-0.45495373800702615*I	0.4587421345274036-0.2944105567679254*I	0.2395827888550044-0.15665649907137721*I
0.7989723173907575-0.2628567240332663*I	0.5178592990886461-0.17000100005200133*I	0.2717178737381391-0.0927709536118182*I
0.10519826399385741-0.834944503896479*I	0.0679365775735792-0.541123634387506*I	0.03431133047807326-0.28325422728087635*I
-0.5445626136763007+0.6399984846963706*I	-0.3524079441401456+0.4140764889092795*I	-0.1915979726129297+0.22044719382411268*I
-0.1649162090828626-0.8239678316336618*I	-0.10709223874988266-0.5337568292517294*I	-0.05986689468693977-0.2847856000293047*I
0.40325238745097675-0.7352591973728935*I	0.2614714294250142-0.4759584052852115*I	0.14357882234712388-0.2617131102426048*I
-0.3169897718997526-0.7767617861840233*I	-0.20473717437184674-0.5027304557408624*I	-0.10932651914035431-0.2772086676968481*I
-0.18870484860191414+0.817563338596947*I	-0.12240675148655492+0.5287522021131453*I	-0.06929021545420885+0.2897675117754063*I
-0.6294715188431752-0.5539868127165921*I	-0.40697034431066365-0.3587338175226231*I	-0.22430539461274085-0.19910022203317138*I
-0.4192894655967215-0.7252269773466787*I	-0.27123217498451074-0.46958406295961197*I	-0.1501748273764485-0.2628108712411274*I
-0.7644680315634887+0.34059461634696453*I	-0.4944870550486575+0.22071510068970643*I	-0.28093171779074766+0.12220861532902506*I
0.6973962696563449-0.46085476407927595*I	0.4506818137956612-0.29777318722554474*I	0.2617581798854774-0.16883854487176417*I
0.7304780841412212+0.4028664032968449*I	0.47252904166366794+0.2608751162580375*I	0.2766812945520805+0.15430010526184482*I
0.7844931278394244-0.28275949795792515*I	0.5068142290233818-0.18303841829886708*I	0.29948995665037526-0.11049142421500761*I
-0.8331245704224319+0.03628074769213123*I	-0.5387471012621402+0.023110593650800718*I	-0.31819981655558416+0.017027309144679866*I
-0.17149945863438043-0.816071226742352*I	-0.11111424396714871-0.5270739796295447*I	-0.06560184026935406-0.3130086653420649*I
-0.6442265412880307-0.5269130918530097*I	-0.41631097007828255-0.3408914558525127*I	-0.24953225846530616-0.2084211432204284*I
0.4362452382773153+0.7071510866186956*I	0.28182886744138785+0.4564332343816126*I	0.17174873810774435+0.283445780555609*I
-0.5596869047815438+0.6120213323837445*I	-0.36190424100554786+0.3955089337420101*I	-0.22687930946308715+0.2476749632697002*I
0.1596630258348791+0.8133553679648555*I	0.10316972073957593+0.5248603101583772*I	0.06678518353056792+0.332398804954643*I
-0.21542496125957414-0.7990992052958*I	-0.13903659898598197-0.5163967076812271*I	-0.09092347215984606-0.33006737987937207*I
0.3860096511401758-0.731197418568516*I	0.24879731759036078-0.471925687119617*I	0.16083259356412133-0.3067650023828666*I
-0.7491291390295141-0.34736602385873405*I	-0.48340908746852956-0.22462202472912685*I	-0.31645168606721436-0.14887757853110042*I
0.7389652149143534-0.36840464282323065*I	0.47706784986377365-0.2381167795493776*I	0.3143497010059669-0.15316132797728021*I
0.6418558011851283-0.5184459807074957*I	0.41370977841508416-0.33457470511844395*I	0.27274086058678715-0.22398681720463298*I
-0.7929336370105952+0.2188323888724359*I	-0.5111792791918061+0.1409301603861376*I	-0.3489820253335508+0.09427079226162403*I
-0.6137372292377621-0.5476676394879423*I	-0.39543215785297164-0.3532925238043872*I	-0.27180276321458025-0.238437419067694*I
-0.5229634478277169+0.6336500746409229*I	-0.33728922995137783+0.4081836834407*I	-0.2341024822688419+0.27998746120595686*I
-0.3391310151778125-0.7461586824935066*I	-0.21845323423201074-0.4806981782451475*I	-0.15052117888262295-0.33972384705225084*I
-0.7284125036663844-0.3727579737482752*I	-0.4697120850862049-0.23990705984203767*I	-0.3326945063858504-0.1739833284884734*I
0.8009770953691304+0.16298063346875263*I	0.5164428475604037+0.10538913663180954*I	0.37027834839341134+0.07526852677476095*I
0.7823756615475399+0.22552063007411685*I	0.5040003090133776+0.1449156883998262*I	0.3736893957659029+0.10549900248931411*I
-0.6415128048666826-0.5018934129358987*I	-0.41288797936308447-0.32349514854573064*I	-0.30528629735833307-0.2388426472055996*I
-0.21254486263300887-0.7837050280378759*I	-0.13657601295922128-0.5050720185596806*I	-0.10003016198631907-0.38173204188117577*I
-0.4515490716864512+0.673048031141859*I	-0.2912029241462484+0.43331493966235124*I	-0.2249669921684173+0.32989352450759113*I
-0.8083188374103889-0.03519399122375471*I	-0.520077977264681-0.022881555907576394*I	-0.4038717039901729-0.015217390424901327*I
0.30526276328563345+0.7452862279189134*I	0.19692379745008567+0.4797492268896525*I	0.1545867936383413+0.38414530932795493*I
-0.5898767399032943+0.5454316512997506*I	-0.379536339892162+0.35064127111131604*I	-0.3072746819698492+0.286785835520592*I
0.7068416634381156+0.3766919711653322*I	0.45467956028767037+0.24278277382197874*I	0.3768959339305374+0.19982743607545642*I
-0.1041826675871182+0.7933658704337113*I	-0.06743143112617239+0.5102547169364563*I	-0.05942527959758481+0.4248835022989302*I
0.7622854713273596-0.23152134882997874*I	0.4898994559292347-0.14899052038464133*I	0.4191913076834457-0.12926832822553108*I
0.5919957356168919+0.5293938407772156*I	0.3807827542335449+0.3408569222619509*I	0.33313856908356465+0.29410550214563236*I
0.011310473855167827-0.7913812770977042*I	0.00703361810102926-0.5091684165802169*I	0.008849109671822258-0.4512676599871958*I
0.4833475259166754-0.6247344740710155*I	0.3108586871840813-0.40198337131105943*I	0.2757242862691754-0.36239053955340733*I
-0.6773017577158236+0.40214754718805157*I	-0.4353814547276983+0.25804801145856937*I	-0.39521847899990437+0.2382106323389951*I
-0.6963813440749651+0.3570251301434137*I	-0.4477180192651193+0.22975618722600877*I	-0.42067558456012466+0.21675034177662783*I
0.5586567280286328-0.5465106560938128*I	0.3588267704578915-0.351509675266836*I	0.33810581719409694-0.33504006287658783*I
0.0620206109813418-0.7752143514225737*I	0.04007808914740616-0.49824707258091566*I	0.03504411318294202-0.48354644050316287*I
0.691388618622451+0.3470233130080683*I	0.4439055437293015+0.22243770381733993*I	0.4407149476075266+0.22483726740885998*I
0.25389558625770803-0.7262361560517087*I	0.16278497359453736-0.46591339073050025*I	0.16773979864638933-0.4756171573068455*I
0.7172821699699277-0.27310517064897866*I	0.46031159422021267-0.17570402208868033*I	0.47557094784513465-0.1784539434740403*I
-0.7565431508890262+0.088618123499007*I	-0.4853074650386478+0.056502335699405964*I	-0.5173491758114726+0.057639885411780514*I
-0.6488101075773617+0.3942235165108303*I	-0.4163778832629763+0.2525195788039329*I	-0.45093130388898345+0.27037406380029677*I
-0.1011073598571749-0.7457106225161257*I	-0.06512163606677111-0.4780497925458682*I	-0.07152369782974899-0.5345966855320005*I
-0.6523239273565471+0.3680399067787998*I	-0.418360187405672+0.23561639489568847*I	-0.47775348853931066+0.26507107237504235*I
-0.7335286626678593+0.11849583402719217*I	-0.4699959271806965+0.07579437211973046*I	-0.5504925087917323+0.09101478508439102*I
0.5582568052913205-0.48217960930999054*I	0.35816621584697694-0.3094605392247057*I	0.4310862279942125-0.36888991078976896*I
-0.4413113737517198-0.5844102669715653*I	-0.28327812541641634-0.3747278215589067*I	-0.350383739985048-0.4587189108130175*I
-0.02510923881075404-0.7265553600526318*I	-0.015663465509249845-0.4655546713442168*I	-0.016813581048730097-0.5868608534298988*I
0.3414246797863136+0.6339574840313716*I	0.21872111508618525+0.40661615021723774*I	0.2833147715805381+0.527550236824046*I
0.6217259393016046-0.357645489161916*I	0.3981765791902504-0.22868187192060951*I	0.5238787529161218-0.30086395013231043*I
0.6991520901246956-0.12581693219754325*I	0.4481419202909086-0.08038816901275284*I	0.6051895792968769-0.11002742289522971*I
-0.31818429800520315+0.6255988567761606*I	-0.20400429086524347+0.4002479242721335*I	-0.28892301247263275+0.5589636081915025*I
0.6824176655615379-0.13864478415114184*I	0.43730078954252954-0.08874935959899921*I	0.6244714563693143-0.12816560825757045*I
0.5294872552741502-0.4411015868722625*I	0.33916809498550304-0.2820054085633357*I	0.498110107755655-0.4157913848961808*I
0.5971257827260061+0.3226125118791698*I	0.3825225077149655+0.20665172943816493*I	0.58238127079004+0.31892467813648195*I
-0.6637072050289158-0.11320934149077769*I	-0.42457469008708704-0.07284498603536034*I	-0.6626937227014503-0.11204830126476939*I
0.11657301437695625+0.6540764746851432*I	0.07448732495046471+0.41883304477867883*I	0.12285512435725117+0.6732081474943826*I
0.3764450967714816+0.5374264133060819*I	0.24040028776390113+0.34353505122676353*I	0.39742379161930386+0.5713521528685838*I
-0.2373590544924965+0.5982574407666008*I	-0.15199509314543316+0.38222861025483*I	-0.26184555051440306+0.6624057231962225*I
-0.2654926133530231-0.5785557488585187*I	-0.17013615393265233-0.3700711881647374*I	-0.29703591859080863-0.6568995675532318*I
-0.029933408173770173+0.6273611941641775*I	-0.019116285249729536+0.4014692728507845*I	-0.03664250329183166+0.7304458275225816*I
0.6096131767832504+0.10185507689309059*I	0.3895730320176549+0.06469433131544439*I	0.7329766792739204+0.12555425568635695*I
0.5989252607850027-0.08615987518124914*I	0.38318577660144615-0.05502202175982487*I	0.7510934563448882-0.1043952304460986*I
0.4808845721173137+0.351705081773279*I	0.30761692641079014+0.22497132506093945*I	0.6234618598340426+0.44966124113396116*I
-0.4325887976241425+0.39545394664580424*I	-0.2759536195290941+0.2526303669752797*I	-0.5784133054800679+0.5225825077342143*I
0.2308205892826946-0.5276726359164453*I	0.14730776651827288-0.33746528909114615*I	0.31219690236776376-0.7255585241879996*I
-0.4256900328447857+0.3667835944850316*I	-0.2718062516983726+0.23468244047332762*I	-0.6081499749425848+0.5260316684803855*I
0.4735273774764221+0.2849812244092449*I	0.301980446195517+0.1818799517900941*I	0.694371144072821+0.42360589777188007*I
0.4497582345076546-0.3054469134517756*I	0.28700037346907303-0.1954010184851114*I	0.6814380053435538-0.4592108694470943*I
0.26406074169195076-0.4629307955416344*I	0.1683030634189101-0.29585759570244574*I	0.4103485466824299-0.7232820678200388*I
0.32745067540544404-0.4049585311561013*I	0.20864301914054972-0.2582855500837152*I	0.5255543723505869-0.6586366659905636*I
0.49956176960391946-0.08777621835130983*I	0.31927037529639807-0.05602103985428654*I	0.8400869842232408-0.1530922821028315*I
0.2511533505604636+0.4263990596679964*I	0.15991977901551518+0.2723322528885237*I	0.43908397207632704+0.744407852370263*I
-0.4368873651441396+0.21060532845802693*I	-0.2790248039857471+0.13402639069944977*I	-0.7880082771929321+0.3736645433825702*I
0.01389656475701364-0.47664445260168653*I	0.00878220861662142-0.3045065052551973*I	0.02773873894047789-0.8779087752540684*I
0.30760423170881024+0.3473774359623887*I	0.1959132461747954+0.2213471123665362*I	0.5937561998105301+0.6606904777083225*I
-0.42262704169173504-0.1589059757345222*I	-0.26976321031007316-0.10099553850020045*I	-0.8381317621929455-0.32012229556127564*I
0.43998210410612915+0.055547396635251184*I	0.2808896892184458+0.035087406991324815*I	0.8964015343647533+0.10721878606561523*I
-0.43077150873796327-0.0261718427554454*I	-0.274686997655792-0.016290352910779543*I	-0.90892541101005-0.061377391399670043*I
0.41371239123618836+0.0645683199980299*I	0.263450337893748+0.04132453379014475*I	0.9086548745415022+0.1408516656826962*I
-0.3845817886896904-0.13985240273702187*I	-0.24566187213074786-0.08912304845566499*I	-0.8718177945010008-0.3101024268187732*I
0.3300215779059701+0.22468823164760576*I	0.21016189611379052+0.1435695953861375*I	0.7733804175263665+0.5193614258134519*I
-0.2520982256766623-0.2954393139318528*I	-0.16036567236031762-0.18816676680756103*I	-0.6089010009365156-0.7136977273855789*I
0.16786981098976822+0.34361462580280344*I	0.10671561086450507+0.2187310053350037*I	0.40734787893059077+0.8489533188001991*I
-0.08571178128042145-0.3604272645314221*I	-0.05424490056477005-0.22966975851673707*I	-0.22602972089460122-0.9209512415731532*I
0.04004096680883902+0.3625187932815364*I	0.02546379245511088+0.2314605146468241*I	0.105028197959584+0.9454963038382168*I
-0.034381303599424255-0.35372045967522125*I	-0.022154494758593768-0.2250931460744266*I	-0.08757506828194302-0.9524506167560329*I
0.07442307333370354+0.3387982851252327*I	0.04732894779075458+0.21630728077520456*I	0.20380837110325523+0.9388552251197276*I
-0.1596239984035433-0.29618796232393796*I	-0.10135098962070976-0.18857792974951265*I	-0.4658674001867939-0.8463569836325622*I
0.2734061183427731+0.18013915963119553*I	0.174043774842032+0.11442358813220324*I	0.8058007148528658+0.5408727100059146*I
-0.31575682726277815+0.03155762118272115*I	-0.20099217457080212+0.0204784421346906*I	-0.9698697416609436+0.10163835554406372*I
0.16043968016336746-0.2654608317391951*I	0.10179425278667253-0.16912917068208305*I	0.49929139124703437-0.841474350985835*I
0.18309266429615992+0.23979836730436926*I	0.11645477323257036+0.1524351460565848*I	0.5952216294089052+0.7813351941557783*I
-0.2551174634097831+0.1560725321835068*I	-0.1626406786869566+0.09900353856175034*I	-0.841589106727222+0.5086051990261413*I
-0.19200113798795945-0.21306730848267263*I	-0.12267720489833141-0.1359902050406996*I	-0.6596798874026768-0.7360173102308591*I
0.0954553932332676-0.2636603282451134*I	0.060574080129768684-0.16762860140843597*I	0.3323221975107936-0.9337660507140602*I
0.24181486824449414-0.12672250612022168*I	0.1544590187534433-0.08086392173781502*I	0.8814898985207225-0.4591861731574735*I
0.2707794858414937-0.02120662006433195*I	0.17208770158347492-0.01327323160103964*I	0.9920719601096856-0.07136972901381432*I
0.26016065469428673-0.004555129504096235*I	0.16571598576305527-0.0033193614235059177*I	0.9987218157951904-0.017027154571110564*I
0.2415483546887715-0.07999236759250927*I	0.15424474260373847-0.051141991548830375*I	0.947709772917408-0.3219627784029258*I
0.13101612842745902-0.21046062554853587*I	0.08388052645140193-0.13408647487109163*I	0.5314273745385121-0.8509598989433517*I
-0.1230082412167429-0.21425267110092844*I	-0.077947022258-0.13665240731103265*I	-0.49286325564580036-0.8742845848741075*I
-0.21666493011597707+0.0952077255265502*I	-0.13813706414171534+0.06023496445752536*I	-0.9234527750195953+0.4020487975889206*I
0.1504398675284765+0.175674866160491*I	0.09556585136171344+0.11221219429450513*I	0.6594878102480084+0.7635714988392077*I
0.031097637563989707-0.22405447870292897*I	0.020143737723142884-0.1429764558433988*I	0.14689366214796085-0.9998209319255288*I
-0.12492917583234794+0.18825266952711456*I	-0.07961075547704972+0.12025634804129812*I	-0.5567092906737638+0.8435160159457931*I
0.12024329566233252-0.18171325707496105*I	0.07619941076679015-0.11582668561060633*I	0.5692707993700872-0.8381996261440666*I
-0.03488626853590608+0.20954501704524617*I	-0.02238870946706091+0.13303603548797793*I	-0.17881621228491568+0.9990490305885886*I
-0.13401364155232776-0.1627479532500924*I	-0.08538178651720146-0.10402490668515187*I	-0.6379983638728575-0.7898461455659926*I
0.18697348644035178-0.07822110962373512*I	0.11872583667040887-0.050104077036888836*I	0.9342597517203058-0.4037200851024243*I
0.10949313147055899+0.16982661396474394*I	0.06940966091404664+0.10837102621705287*I	0.5588651509167561+0.8507912945737645*I
-0.07292595999213493+0.1837952571078012*I	-0.0459746362243201+0.11706903676456451*I	-0.36511565725322004+0.9515242635421379*I
-0.14456975300141794+0.12215047179262294*I	-0.09244020310224044+0.07765676312893065*I	-0.7747129780111979+0.6656631760631104*I
-0.14846611600299575+0.11901604363339423*I	-0.09408014844524672+0.07564282225561277*I	-0.8000332259270235+0.63474815926936*I
-0.08227293243136351+0.16389139851559625*I	-0.05243848586451587+0.10473338136764261*I	-0.47276762751369805+0.907160391067771*I
0.07311684013703773+0.16547316984462634*I	0.04611336054323805+0.10550625834635274*I	0.3990132294014012+0.9426875567740717*I
0.17577209646990674-0.028553100681715845*I	0.11143376566413332-0.018188894107661297*I	1.0089652124490116-0.17731701971626285*I
-0.0710011286318219-0.15702846773618256*I	-0.04554361042663722-0.09981817100082387*I	-0.4081384995291812-0.9410939656591449*I
-0.07260781231874051+0.149915144127219*I	-0.04630880126873025+0.09586923351319493*I	-0.45581695028534674+0.9204243512138319*I
0.12338748789740316-0.10925035648313082*I	0.07899963224084239-0.0695447488734549*I	0.7810078547929494-0.6677401575768633*I
-0.11900101879827486+0.11401625400661235*I	-0.07604361810210712+0.07232076376963799*I	-0.7366785604138311+0.7164357483178831*I
0.039466222946426856-0.1536801961648343*I	0.02552234486946705-0.09758142015652149*I	0.27450269184868936-0.991720474424311*I
0.10381873470394913+0.11376502752405777*I	0.06566363983697891+0.07250979402770766*I	0.6848873097493735+0.7693542885401302*I
-0.1229305931556819+0.09154095937547277*I	-0.07823909444994376+0.057798915659315886*I	-0.8381744485765362+0.5990322592414018*I
-0.12491782159178871-0.08621838124480657*I	-0.07911728735369206-0.0549845482683399*I	-0.856748870595123-0.5727576681144072*I
-0.03740502512474989-0.14362635577789895*I	-0.02333047708614961-0.09139077567367376*I	-0.24099517246314625-1.0027193359505753*I
0.0032525928733022837-0.14396002353262138*I	0.0025383681815699414-0.09171433810763018*I	0.04478259041982218-1.0311909327942896*I
-0.022308146471674516-0.1419750121197492*I	-0.013959314508960697-0.09069198843190764*I	-0.14621597592278446-1.0218225268289314*I
-0.0962995719787893-0.09898789562198859*I	-0.061703340782398655-0.06317990935503068*I	-0.7353902389380623-0.725922981020247*I
-0.13141828936587255+0.04583401344479539*I	-0.08355384362000286+0.02955610756827475*I	-0.9768283612510555+0.3365705719618626*I
0.04638662316887605+0.1279194873122346*I	0.029575707452596595+0.0809764078784479*I	0.3381792632895274+0.9769593651232229*I
0.09436841321691966-0.09578547929379222*I	0.06001227062061208-0.0604975641699828*I	0.7241850046610623-0.7382661230320665*I
-0.12543711643196606+0.016932998828949948*I	-0.08021148518946766+0.010558751117263758*I	-1.0248315515549316+0.14846877665050448*I
