0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.5888105018322174-0.596638174042137*I	0.3873462193834092-0.39195064388062895*I	0.10965962490828574-0.11563092993821306*I
0.4073267015279264+0.7329846478603712*I	0.26824892946643636+0.48208724717599155*I	0.0736296467311664+0.1386902242491068*I
-0.11344309460687473+0.8312183283519456*I	-0.07501089106801069+0.5466129848972856*I	-0.01870296354202206+0.15518995170795727*I
0.7491842392362139+0.37698488200589453*I	0.49226440124305587+0.24767991576128096*I	0.14490706261107478+0.07058039699254598*I
-0.8255120585380074+0.14902415143672942*I	-0.543118563847565+0.09827426791493848*I	-0.15648479612896832+0.024860391418123347*I
-0.5337000974407344+0.6474349247828882*I	-0.35054054353013847+0.42554341092184733*I	-0.1010683806181182+0.1258430063968805*I
-0.5554196726721101-0.6290593916955567*I	-0.365318918863662-0.413216754182784*I	-0.1080402802503033-0.12072470292323939*I
0.2855869893243932+0.7901521368069163*I	0.18735498945241102+0.5195115534084686*I	0.05446268900343407+0.14626870743596238*I
0.7773104619989563-0.31737577356588764*I	0.5108073293093472-0.20899764702604018*I	0.14943056210823435-0.06267075004318548*I
0.07763135867953772-0.8361014490309018*I	0.05095577627104691-0.5501572341397003*I	0.017630585927715152-0.16012485011524108*I
-0.7489404391772453-0.3818259192826679*I	-0.49227046248037826-0.2514497115053443*I	-0.13861959791233985-0.07284385171832672*I
-0.1103240478956326+0.8330948504232207*I	-0.07212219402117284+0.5476258062578591*I	-0.01814855410460074+0.1599309975189383*I
0.024263175822773434-0.8408854731278491*I	0.016066028142316634-0.5524438573881*I	0.0030997506023803037-0.15648385740538184*I
0.7606795648417135-0.35823577870665274*I	0.4997948266910245-0.2358134792846065*I	0.14338329811730294-0.07123926880585124*I
-0.2539813337210317-0.8022649938981958*I	-0.1669081039333446-0.5270267705470891*I	-0.04897702083124979-0.149006972897068*I
0.8294153215421859-0.13727562579031188*I	0.5456781304176943-0.0900415880396773*I	0.1600547488124903-0.02378363141215585*I
-0.4742896446712875-0.695590146484343*I	-0.31177093684859564-0.4568751947792018*I	-0.09003728345471074-0.12877535468046886*I
-0.49207670601495446-0.6820159240631267*I	-0.32356392205571743-0.44880844944915804*I	-0.09424649818520622-0.1329800973180283*I
0.5762019648443077-0.613840641394726*I	0.3784750504396084-0.40383235439287973*I	0.10656574676784697-0.1183121406662802*I
0.14881059239422767+0.8290307570181643*I	0.09822125683207346+0.5448254924773068*I	0.030640588088129826+0.15525456179232489*I
-0.6281310636013554-0.5600555911652458*I	-0.4130042285812156-0.36860907140632404*I	-0.12168349696929281-0.10925587410131482*I
0.8198206432763476-0.19062742474460098*I	0.5393605477414519-0.12520267305678065*I	0.15926193246511594-0.03757539981015748*I
0.37480791917898176+0.7548181922583944*I	0.2467803421027491+0.4960144576174345*I	0.07250398875215192+0.14059248656471635*I
0.4186326082634701+0.7308459340950996*I	0.27481384334035475+0.4806345871691284*I	0.07920323689272736+0.1426323188212982*I
0.4932663039345385-0.6838040840144519*I	0.3238708715191534-0.4497011945874319*I	0.09122935878949516-0.1285294117607867*I
0.5487516911790808+0.6393138586495133*I	0.36034409657324024+0.4204553765533226*I	0.10501081250211249+0.12532396629472198*I
0.7944995102718606-0.28066442516394785*I	0.522684354806855-0.1844686101174348*I	0.1527090694287531-0.056765732988391736*I
0.302621359329839+0.7865582102703189*I	0.19861743069966709+0.5173273300818115*I	0.05975860540096196+0.15292006428528135*I
0.21533417519675832-0.8159122764122168*I	0.14115587024720164-0.5364910674226326*I	0.03965387809594612-0.1528435126734372*I
-0.4428023487479217-0.7180248883713654*I	-0.291363526038374-0.47225991045898347*I	-0.08676160649777959-0.13463095795895358*I
-0.14271324560979304-0.8318974213744682*I	-0.09417392755901632-0.5470138489391476*I	-0.02835301907527139-0.1558857333764615*I
0.6606495266441724-0.525587543906322*I	0.4338167543463903-0.34542671458419333*I	0.12764191476321624-0.09743732241225572*I
0.704676972075992+0.46392497754291195*I	0.4628688261891442+0.30522375321561807*I	0.13797388712250921+0.09007470459703862*I
0.03932038488551861+0.8431871509622999*I	0.025738971164794375+0.554606328047632*I	0.010777210107186509+0.16065053229845455*I
-0.0758703539634478+0.840945774874406*I	-0.049913847052101+0.5531337257283717*I	-0.011567675500472736+0.1595742987846086*I
0.7388046229485272+0.40820438621274374*I	0.4853324165187291+0.2686315691721963*I	0.1449558323556872+0.07803190084076314*I
