0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
-0.13141828936587255+0.04583401344479539*I	-0.08355384362000286+0.02955610756827475*I	-0.9768283612510555+0.3365705719618626*I
-0.04695690226363335-0.10677566796085791*I	-0.03018631982442342-0.06767471205317944*I	-0.4096905686297404-0.9530990166365275*I
0.07857687721399062-0.06016474955036882*I	0.04949877642485123-0.038180898238617075*I	0.815779396701145-0.6456153553464414*I
-0.0805599845344015+0.017111641543218162*I	-0.0513024076193177+0.011208259010562398*I	-1.0264315581665737+0.18338265241247728*I
0.04969228596209789-0.05014833719239964*I	0.031180145178943783-0.03221367337583069*I	0.7024046471449573-0.7727251021118554*I
-0.06231118093129766-0.01551750866058408*I	-0.039276987524862035-0.009504977620179733*I	-1.0130348126458208-0.2573967159517397*I
0.04906175850360583-0.01674499876556634*I	0.03091778569258571-0.011064385139654333*I	0.9729515795712974-0.38555393923197134*I
-0.04911372264923447+0.000645370801972224*I	-0.03149854630233275+0.0002590176874315458*I	-1.0470385428964701-0.013822975974298962*I
-0.023999234363071498-0.030879848917631215*I	-0.015856391871843383-0.01951052759830261*I	-0.6911584412268335-0.7879647222750262*I
-0.004402908056800747-0.03329441700558078*I	-0.0026957398537023826-0.02168522996839654*I	-0.1785760796739722-1.033507245635026*I
0.026076360789848683+0.022627917131680518*I	0.016572406288863722+0.014672693650535336*I	0.767176990290881+0.7157542935534404*I
0.01903742744396309+0.02379456938990557*I	0.011941186664223332+0.01469965491281583*I	0.5977584726992624+0.8630612511598069*I
0.015516319034860945+0.02013710728926891*I	0.01043077028672696+0.012803972021199659*I	0.7341010972083291+0.7514034644642981*I
-0.011904634763137464+0.020329738054065974*I	-0.007546766679595819+0.013226624316316276*I	-0.4241504851111333+0.9616219005959389*I
0.02188398699760389-0.00512508501973599*I	0.014052361880244954-0.003083091983708067*I	1.0382267949466157-0.16663415840644846*I
-0.006171240038791302+0.01533974957243729*I	-0.004040250850063188+0.010061691733573857*I	-0.5294081947205558+0.9092539100468996*I
-0.015127074948761369-0.008007858629006378*I	-0.008915296134170962-0.00516768498889773*I	-0.8317576757576683-0.6451415390109292*I
0.012341763188302326-0.004238634237516068*I	0.008519018608757275-0.002104648971735689*I	1.0451560250061247-0.12987403629579236*I
-0.010844402958318594-0.00793504094237404*I	-0.006610044571222004-0.004994727985611045*I	-0.696329226572034-0.7908203258909884*I
-0.0022606987142666647-0.008478274898607254*I	-0.0009347203728367321-0.006117675845389487*I	-0.14060625878929556-1.0448416995281107*I
-0.0056886741914419295+0.00572226927333882*I	-0.004060237092127304+0.00399552508071537*I	-0.8764880249432774+0.5867971578933943*I
0.002344567349213866-0.006006623787189736*I	0.0018664966048998848-0.0042084644861132585*I	0.31975312191671923-1.0057024879334604*I
0.009739011954934844-0.0012372549089423482*I	0.006226171615784837-0.0002152262634931947*I	1.0405917907307973+0.17852662889330528*I
-0.0005892663972663537+0.008332842227695172*I	0.0005290581025770835+0.004652785099120489*I	0.33346217784570875+1.0023258382570979*I
-0.003220312816711604+0.0020297819766013168*I	-0.0027896978937910232+0.0013421206512890214*I	-0.9035176467529265+0.5483484316405935*I
0.003377929814690784-0.005620774470101934*I	0.001575874495686689-0.0039385661147242675*I	0.06267669352339626-1.055552309544215*I
-0.0045837931414635085+0.0028511198341671846*I	-0.0024905847941266586+0.002761990814172385*I	-0.44372665578841103+0.960399922659613*I
-0.0005440482681820206+0.0035697665998818415*I	0.0006938793272047646+0.0029011961924489387*I	0.5377074192403315+0.9117501445042113*I
-0.005139336023312711+0.0011475725006190125*I	-0.002854460290003957+0.0013528279405809773*I	-0.7013375349806286+0.7935180235411077*I
0.004693548474325309-0.0037329989777428697*I	0.0024204463505690184-0.0010610775390536785*I	1.0507936714530033-0.1360682128993665*I
0.005425719399039064-0.0009932619073352712*I	0.002977239616354192+0.00008088224543832222*I	0.9779955823999101+0.4091054272320829*I
-0.0011998728428697677-0.006090104974406258*I	-0.0005988917936869897-0.0025972988983646197*I	-0.5360589025454828-0.9152212224892428*I
-0.00153173295136562-0.0013718062154978537*I	0.00039719302391071483-0.0017524584247499665*I	0.525933326133109-0.9217286697375044*I
-0.001929095167848836-0.004995922199588128*I	-0.0015038709400943347-0.0014219131608511958*I	-0.840823479650468-0.6483424828556831*I
0.0009078933432270064-0.0025018664709305317*I	0.0010296437417900474-0.0006032549029723935*I	1.0548869168256165+0.12544143794092633*I
0.004444645036454506+0.003350845232748462*I	0.0015470105265338418+0.0008832709364917894*I	0.823056759916602+0.6724974739327625*I
0.0049907759759480535-0.0013459751514617476*I	0.0014366404709494807-0.0010750172253747806*I	0.8817889530342832-0.5943909091419014*I
-0.002466745579003681+0.0038944034440766646*I	-0.0015441048149122819+0.0010119097825514853*I	-0.9795471633949483+0.41536347102935656*I
0.002894609593992253-0.0025457092389101735*I	0.0005150092007523689-0.000910492034788307*I	-0.16155274902323236-1.0522045654170733*I
0.0036000086278676568-0.0024092306670510984*I	0.000544481407016057-0.0013731759743860895*I	0.3101789274153003-1.0189211307042403*I
-0.00031533213454402965+0.0020485545812941944*I	-0.0001837600544462938-0.00008894318458341647*I	-0.5101623063655708-0.9356052969408499*I
-0.0003394871599880807-0.002336375864887684*I	-0.0008099496340958558+0.0001364234922839782*I	-0.7046838569679212+0.8001432255095939*I
-0.002339195882290282-0.00146068508203741*I	0.0005079358212493066-0.0007598765652253439*I	0.8510884584044673-0.643157269182154*I
-0.0035280376037813755+0.0007388094822156806*I	-0.00019801791806444693+0.0008870048299878532*I	-0.2137469151113086+1.0457095428726875*I
-0.0025683112949002203-0.0030706505095847783*I	-0.0009333562743026839-0.00008127983026210258*I	-1.0435941588536823-0.22649493639321838*I
0.0028966684261985494-0.0011023255285206013*I	-0.00037130865202815124-0.0005659893315890942*I	-0.5420471896461884-0.9207539193611851*I
-0.0033831037024168245+0.0004973773099247727*I	-0.0005484768691013961-0.0006830524317579511*I	-0.40994125818596516-0.9872931637655584*I
0.002716190136333688+0.00027653649517240457*I	-0.000051912876477697014-0.0005802728015281438*I	-0.82224658869454-0.6840489730529962*I
-0.0007949605885047593-0.0030866145324461415*I	-0.0001348312396061811-0.000305074163806216*I	-1.0042799609955448+0.36964969262955716*I
-0.002981346780692609-0.0005141050678494973*I	0.0002824201350530556+0.00013751949864092576*I	0.35573687324438935+1.0098899624532294*I
-0.002848541047174447+0.0005679168215785268*I	0.00043122616611177635-0.00024267606353768108*I	0.7564412008347192-0.758578412390215*I
-0.0035816476480105466+0.0012137368376809428*I	-0.0000670683860787852+0.00007207547451962531*I	-1.0681765571163848+0.08857941333251827*I
-0.002930918469087852+1.1514863415222333*^-6*I	0.0004850470943158348+0.00008129582139553648*I	1.041117325764251+0.2571879205797305*I
-0.0025912601498678934-0.0025666492347426887*I	0.000044037449395490044-0.00012309897775462998*I	-1.0462503959486333-0.2380009458210463*I
0.0018223963336362996-0.0030057887194068775*I	0.000618581869887176-0.00012977732287544806*I	1.067531586845366-0.11347566016202239*I
0.0027783406350912793+0.0015915125520523858*I	0.00028753759302519664+0.00010571862187148191*I	-0.8094881506493535+0.7060155121453547*I
