0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.13578470263271974+0.8130144642503908*I	0.09115232063903281+0.5326670408582342*I	0.04495230769911069+0.17322506108995273*I
-0.6252520537624524-0.5226764781914025*I	-0.40883996433771086-0.3443699679443756*I	-0.14918873271296973-0.1773437803767608*I
0.2601392952017529+0.77065599311727*I	0.1664148759850301+0.49894517218168133*I	0.06928191233601375+0.2462277775027651*I
0.7962083045421748-0.15623429282976387*I	0.5226646229683897-0.10244030676747974*I	0.2477077431421538-0.01833607065423533*I
0.708760067409864-0.42215390283625853*I	0.46066932506724834-0.2789139226258022*I	0.16338524670386553-0.08080416762094103*I
0.8028847414768572+0.10369606241816959*I	0.5260774409066555+0.06491615859169453*I	0.2568155774782767+0.03938599414720585*I
-0.13378886074748658+0.8009130999832337*I	-0.09122492918496758+0.521830459801395*I	-0.014624581003735069+0.25240390913717065*I
-0.3947322952677048-0.7071134360770047*I	-0.2611509092540583-0.46033081216604854*I	-0.11704495468437048-0.23311606719872735*I
0.30634280288946697+0.7666197679854085*I	0.20333585875142915+0.4974356772993655*I	0.07313025977291518+0.16843834322087048*I
0.3611836370806107-0.7356044450247343*I	0.2372685737306099-0.4821509861262683*I	0.12440671268313305-0.16837859461569538*I
-0.7629668207336551-0.3191019958342512*I	-0.4941496529092957-0.20390800616069693*I	-0.16935737242400573-0.0766145447235444*I
-0.6411309263401684+0.497645118505059*I	-0.41317005749649593+0.322391996772807*I	-0.21008997349284048+0.16390837449667908*I
-0.2958512742678271+0.7537901271153067*I	-0.19058843452675706+0.4942281234846977*I	-0.07128819963155897+0.2510855659040225*I
-0.20995008537112902+0.7891527617715094*I	-0.13371831781414703+0.5102034153270529*I	-0.1005069040407265+0.22223504038083344*I
-0.4262838062638358+0.6898546834671706*I	-0.27305787216242816+0.44953337366777396*I	-0.12031999943613375+0.23636109272739386*I
-0.7311601119698568+0.34706065476040426*I	-0.4778042340645958+0.22210500537102237*I	-0.24925961169757396+0.09934506845542246*I
-0.756218899130623-0.3186215431555385*I	-0.4912618929726396-0.21123753069485104*I	-0.20719973671100414-0.049702163574381966*I
-0.1312705009347133-0.8091670550701732*I	-0.08788185716243249-0.5224946527756278*I	-0.07689234692579121-0.21492818565368166*I
0.658293908595918-0.48633176946324763*I	0.4242540656933013-0.31392233003145975*I	0.21314368193561598-0.10508125593320315*I
0.7057653377274079+0.4103776834186023*I	0.4627741327904249+0.2662443473778876*I	0.17602775935833995+0.14964922117639481*I
-0.09565247516906485+0.8064171757225197*I	-0.05793874433410511+0.5250418870274209*I	0.008090357376741037+0.2577805784927329*I
-0.74442072954577+0.3149414770676885*I	-0.48721984776751176+0.20236027237901652*I	-0.23811254287482322+0.129136314981417*I
-0.7185478994073363-0.3994951525913174*I	-0.4689863208191736-0.2630128166371382*I	-0.17489784052491059-0.09740830318429819*I
-0.2808990345939563-0.7719819796891016*I	-0.18207824285736046-0.49714368523534275*I	-0.10948271683934996-0.1949636303028837*I
0.057021971648138-0.8216723498098458*I	0.03523455177763316-0.5297508219615623*I	0.03920143644953086-0.20843458353371971*I
0.1479397550947857-0.8018664058309577*I	0.09980223321438914-0.5224457316488313*I	0.002554558323138747-0.23989970602529032*I
-0.09343482938587519-0.8156802602235315*I	-0.05690157911422239-0.5277813841237387*I	-0.056950641092358055-0.2152506059433427*I
-0.6237232003663932-0.5155674399090907*I	-0.4053601766944099-0.3390263353834801*I	-0.17926648664382072-0.19820440239883014*I
-0.6909307221172891+0.4430206477327835*I	-0.44465319301721745+0.2856844551232359*I	-0.20976521732336256+0.0927777907245096*I
0.6018500619055668+0.5431381793916041*I	0.38854678700386974+0.3489396825425238*I	0.17946789348948897+0.20859321165017194*I
-0.12496951080358518-0.8100309580736593*I	-0.07714375863625186-0.5268552536976657*I	-0.061912602349375234-0.2159081589981123*I
0.13578549137790125+0.8031677919115874*I	0.08900290744524628+0.516966181856249*I	0.08457668145144623+0.2448788247650283*I
-0.665702117259464-0.48273149045485325*I	-0.4295878624545675-0.3094825801688662*I	-0.19182567006026763-0.11209809061225959*I
0.45789440094286404-0.6632304262561524*I	0.3005670847599085-0.4277768314968804*I	0.18639917078965512-0.21982275133463097*I
0.7904595077777179-0.21411935498473034*I	0.5091836732201209-0.14121255349548562*I	0.23507827893583397-0.02924524227455457*I
0.721248848925648-0.3816488266381901*I	0.46553234432320134-0.25098443603918424*I	0.23240901019188268-0.0804654791749292*I
-0.08662358568426368-0.7998048860509792*I	-0.05741210632100721-0.514667786843255*I	-0.024609549128223863-0.3002300890349795*I
-0.588583894553637+0.5695544711016851*I	-0.3857071921552299+0.36896960081164537*I	-0.16268147285093132+0.15481276136508415*I
0.4842943568840638-0.6543563699904706*I	0.3126674269819176-0.4201366144570223*I	0.12091562548107135-0.23365801989248375*I
0.5119615387614558+0.6316010189558273*I	0.3296834271007162+0.4056501853259498*I	0.19987889144495014+0.17901230635011942*I
0.05413608142309352+0.8185860392789888*I	0.031996881234982476+0.5274653542239464*I	0.027328028282835475+0.23087670215659736*I
0.5195604673407636+0.6121460032659873*I	0.33874664232344764+0.40034943608901735*I	0.16103074117279967+0.24651515261233636*I
0.4101729425563191-0.7087047857180713*I	0.264166245404288-0.45507363740787393*I	0.0999262879704826-0.2216127934040189*I
-0.3005711349636013+0.7441501693903158*I	-0.19056575710062165+0.4832550664829507*I	-0.08330297039288664+0.2926851202716058*I
-0.7375926624340147-0.3043129875768386*I	-0.4809665398418644-0.19433714643867958*I	-0.29547676804923184-0.11654224510887075*I
-0.6940389418473043-0.39477893020226884*I	-0.45163965153960417-0.2520051270459478*I	-0.28280495240140957-0.14731450651372083*I
-0.5215917926357561+0.6144302574251019*I	-0.334309398230181+0.3952514991704904*I	-0.1606229693633758+0.25180952653693384*I
0.6275218099493947-0.5209630574910641*I	0.40994534113671405-0.3354642644834705*I	0.18423300869570644-0.16468909400220108*I
0.4277672318573383+0.6782395718560214*I	0.27940407563110253+0.4357403277294974*I	0.1334953095940172+0.27956616774305915*I
0.3883093246282585+0.7078152584123644*I	0.2508514061462553+0.4621134683902143*I	0.16883992968872535+0.2240499180862073*I
0.6477411648605826-0.47174842351331625*I	0.41771155340764404-0.30120571504331595*I	0.27508573464158487-0.15502813198853477*I
-0.49732964429970405+0.6465346732566312*I	-0.3174399239615452+0.4174558945391313*I	-0.14649526839565444+0.21269737435675407*I
-0.7912186273525542-0.08767424828160392*I	-0.5124481773873337-0.05245933395139308*I	-0.3286589252403246-0.007366762415980756*I
-0.579727797672594+0.5487307625804304*I	-0.37393714761724123+0.3588730498600571*I	-0.25625711530015+0.1889769914065807*I
0.7555723200148406-0.296086145588044*I	0.4893587512207232-0.19546547563872174*I	0.25240673002161035-0.08542381806568544*I
0.2950531268891171+0.7484970809837164*I	0.1950404667919623+0.48392432627528964*I	0.14605457807000788+0.25773416315397346*I
0.5920674892186311+0.524736938281898*I	0.38571984207742394+0.3361623922313999*I	0.2695303942495922+0.21682030757572782*I
-0.1955514794759649-0.7730244343441126*I	-0.12952045114932442-0.496915657485451*I	-0.04146420175506875-0.3258065406810307*I
0.8007744058984088-0.13318180571462454*I	0.5133524777160879-0.08759081292241581*I	0.2757256748267031-0.03488761080053606*I
0.6310157652972233-0.49248090943744105*I	0.4042862021379799-0.31554969876178246*I	0.2249781553718759-0.23047301031384346*I
-0.7628604238181412+0.20697671965781295*I	-0.48973931153249806+0.13075166484580394*I	-0.3479802314884386+0.06872343681725668*I
-0.403951693367973-0.7015538130621892*I	-0.2566552322523294-0.4520311332500878*I	-0.13937564092803512-0.2502798589424009*I
-0.7851888456352969-0.04662383238842982*I	-0.504470927941378-0.03339865145077043*I	-0.3651577306544103-0.007319747537027689*I
0.7988176297930806-0.12059771918798293*I	0.513111750988435-0.07435343503762835*I	0.29130716585271116-0.037917741986692496*I
0.7287364051174235+0.29663531496042406*I	0.4661778186209022+0.1912145051851139*I	0.3291174625411667+0.16302154170034838*I
0.06368525542091036-0.7867028687443807*I	0.0383863436334858-0.5043837586276354*I	-0.01032282055522319-0.35909794409632406*I
0.733546339164034+0.31261307789162734*I	0.4762912047296718+0.1986575819871122*I	0.31209293120639664+0.09173834178356935*I
0.7737103750844807-0.19550756782570441*I	0.5025762813006013-0.12399973354151086*I	0.3027158538559712-0.1075481251879841*I
-0.7517721844113037+0.2548746839587145*I	-0.48058087010699196+0.1639401915841888*I	-0.3118061449521494+0.1512998022509184*I
-0.7717375086678807-0.06658978103485304*I	-0.5016241578613425-0.04454125306319656*I	-0.392312793439645-0.024386046886762207*I
0.4532807828213361+0.6546834351313782*I	0.294323702172564+0.41845670095590237*I	0.16419724128128002+0.292256783675291*I
-0.5108586959311051+0.5838662944190949*I	-0.32774468145152497+0.37252941565662645*I	-0.25144751204725424+0.3113430014775684*I
0.5277146484852866+0.58733541374931*I	0.33594090395786325+0.37887501885713604*I	0.268359015694433+0.23751842611472704*I
-0.7576712701085649+0.2309266764058845*I	-0.48550478976774347+0.14550353505858032*I	-0.3251464253129235+0.13537817712820846*I
-0.3224376681484211+0.7083569918334467*I	-0.20378951848697363+0.45460750551279994*I	-0.12313702037173122+0.37319643458208335*I
-0.1732743534690041-0.7524451406850442*I	-0.11240412871185895-0.488797108591253*I	-0.04998098931670655-0.3976980303810489*I
-0.45588260287699317-0.6288152804960752*I	-0.2926311252511765-0.4007635372820147*I	-0.26817482181138186-0.29506065678156457*I
0.6296112730414322+0.4703667846155021*I	0.4016380315621457+0.3047386612951789*I	0.3142498781750717+0.19472031615478685*I
0.700500598980407+0.3332187909602197*I	0.4485780906954698+0.21786064882806933*I	0.37564051650599783+0.13044799736054175*I
-0.7372465129104631-0.19608341696059484*I	-0.4703122985078808-0.12661344023206872*I	-0.41245683200860117-0.1387668587688176*I
-0.7621373449680231-0.10266011666661934*I	-0.49291765850879254-0.06256471618728317*I	-0.41262442629137774-0.009263065688946035*I
0.7726379081187074-0.06053740363481961*I	0.49300674916918813-0.037582279511610146*I	0.3978282031215954-0.07277990952418822*I
0.6951632725042064-0.2895586140603049*I	0.44689913094374556-0.18211464493984997*I	0.4145955611471733-0.19200386126200714*I
-0.5127058561583844+0.5873872771850743*I	-0.3281049713517964+0.37365004440975963*I	-0.259683713336707+0.29361357523081466*I
-0.048672302553507185+0.769149644268372*I	-0.02777363959439687+0.496559251359364*I	-0.055542680612179575+0.4055618811097597*I
-0.5542633138163854-0.5367903188606041*I	-0.3528557006197591-0.34237058948092525*I	-0.3170218335483169-0.26711796244986*I
-0.6788408602479004+0.32294348713844545*I	-0.43374553180990816+0.20409869393125268*I	-0.43484153233982925+0.1581031594610835*I
-0.2829802680510493-0.6880664481509449*I	-0.1841666866301667-0.43873585408173676*I	-0.14766532293535692-0.45533216092182455*I
-0.5727372212415607+0.5061796428814169*I	-0.37144731404711734+0.32293069596378743*I	-0.3234979779032361+0.27920607205519227*I
-0.7402068208613438-0.03051584739713078*I	-0.47925225948605354-0.021409367918488097*I	-0.47525532727287567-0.0657283096104655*I
0.7115825698108215+0.24552917207514252*I	0.45560834648110415+0.16176343402006807*I	0.4185647871208149+0.18342226210425278*I
0.7196691220088259+0.07700007448501439*I	0.4627701949396913+0.0452192485906487*I	0.5179004136498725+0.03161465078480668*I
-0.526271540860773+0.4928551104373443*I	-0.3336079595378816+0.3166568587221153*I	-0.3688839962908202+0.37658534252561654*I
0.48954034491166687+0.5583093340944919*I	0.3182068341081446+0.3581428113061666*I	0.29141358847075316+0.37891038038019037*I
-0.14109247896769378+0.720933129914038*I	-0.09083468817611681+0.45823880070990886*I	-0.14001925191913445+0.48159521098844066*I
0.2836182384185332-0.6714197558989091*I	0.18181715561749492-0.42646757353639503*I	0.1567973893653939-0.488580601079995*I
-0.18986754446001444-0.7059276544556364*I	-0.12600069968230432-0.4530437161768235*I	-0.16148039533218383-0.47742467467602323*I
